iter	Logloss
0	0.6917349234
1	0.6899497587
2	0.6881137912
3	0.6859864803
4	0.6843661617
5	0.6827294855
6	0.6798734075
7	0.6780100917
8	0.6759387673
9	0.6736288429
10	0.6720504391
11	0.6701043163
12	0.6683699039
13	0.6666019057
14	0.6650021161
15	0.6635168248
16	0.6617406689
17	0.6597045388
18	0.6576281262
19	0.6558362109
20	0.6544405215
21	0.6527999341
22	0.6511144977
23	0.6499262622
24	0.6483983459
25	0.6472204303
26	0.6460969705
27	0.6443839615
28	0.6428203614
29	0.6408078671
30	0.6384744482
31	0.6366067256
32	0.6354487304
33	0.6335082684
34	0.6317815769
35	0.6301689199
36	0.6281451018
37	0.6271326331
38	0.6255487602
39	0.624239954
40	0.6226030612
41	0.6213595969
42	0.6200370874
43	0.6186504034
44	0.6168794935
45	0.6158768549
46	0.6140669884
47	0.6125707245
48	0.6110614429
49	0.6094861481
50	0.6077198959
51	0.6065543427
52	0.6055278887
53	0.6040667121
54	0.6026819136
55	0.6010287911
56	0.6001384927
57	0.5985253741
58	0.5966320176
59	0.5950994549
60	0.5941856481
61	0.5929041877
62	0.5911931097
63	0.5891754889
64	0.5872066657
65	0.5853825203
66	0.5840302104
67	0.5826412687
68	0.5816829263
69	0.5800412393
70	0.5786008257
71	0.5774885123
72	0.575909238
73	0.5745736557
74	0.5725525682
75	0.571333354
76	0.5704246837
77	0.5688721667
78	0.5673487408
79	0.5663154644
80	0.5652391421
81	0.5637246199
82	0.5622775602
83	0.5613283686
84	0.560493303
85	0.5587499512
86	0.5574818301
87	0.5559120646
88	0.5549545189
89	0.5537288632
90	0.5523808485
91	0.5509658143
92	0.5497553535
93	0.5478298168
94	0.5463887493
95	0.5454169181
96	0.5444172786
97	0.5425067657
98	0.5412287429
99	0.5400566304
100	0.5389205439
101	0.5374073671
102	0.5363613751
103	0.5348964141
104	0.5335813658
105	0.532414155
106	0.5313568165
107	0.5295365607
108	0.528948712
109	0.527751419
110	0.5265058744
111	0.5245795619
112	0.5234656655
113	0.522304111
114	0.521009271
115	0.5202538407
116	0.5192453436
117	0.5175061157
118	0.5161683217
119	0.5150956811
120	0.5137745354
121	0.5124659362
122	0.5107483928
123	0.5095801304
124	0.5085135808
125	0.5076606118
126	0.5066686962
127	0.5060568378
128	0.5047778092
129	0.5039029231
130	0.5027910349
131	0.5016667467
132	0.5009973886
133	0.4998181656
134	0.4984613275
135	0.4973207605
136	0.4962307184
137	0.4952440317
138	0.4937572545
139	0.4926264988
140	0.4914134502
141	0.4903091954
142	0.4888690161
143	0.4878349521
144	0.4870606944
145	0.4859532128
146	0.484932353
147	0.4842878781
148	0.4832750319
149	0.4822677135
150	0.4811190325
151	0.4802109855
152	0.4792215226
153	0.4781076494
154	0.4772254066
155	0.476115392
156	0.4752716164
157	0.474196235
158	0.4732631151
159	0.4724327425
160	0.4717632259
161	0.4710742769
162	0.4701807269
163	0.4691412767
164	0.4678239545
165	0.4669468993
166	0.4658195882
167	0.4653856411
168	0.4641539231
169	0.4636518309
170	0.4628086158
171	0.4615067148
172	0.4608627762
173	0.4599172489
174	0.4586958326
175	0.4581837274
176	0.4573948696
177	0.4564475035
178	0.4552044708
179	0.454109187
180	0.453381824
181	0.4523739335
182	0.4516648338
183	0.4507872742
184	0.4496203734
185	0.4485191837
186	0.447865118
187	0.4468934896
188	0.4462126844
189	0.445259532
190	0.4440103087
191	0.4429547358
192	0.4419795291
193	0.4411398784
194	0.4401168255
195	0.4387881211
196	0.4382690137
197	0.4376926229
198	0.4370257374
199	0.4365715366
200	0.4360834702
201	0.4350628261
202	0.4341318599
203	0.4333164096
204	0.4328336735
205	0.4321217357
206	0.4314522973
207	0.4307209885
208	0.4299978743
209	0.4293708794
210	0.4283682378
211	0.4276861246
212	0.4271268084
213	0.4264630227
214	0.4256557707
215	0.4248799864
216	0.4238446177
217	0.4227022246
218	0.4219514346
219	0.421378022
220	0.4207722824
221	0.4199064784
222	0.4193201089
223	0.4185613744
224	0.4177269465
225	0.4168052318
226	0.4158586476
227	0.4152793429
228	0.4147270526
229	0.4138975438
230	0.4134630224
231	0.4128760294
232	0.4124719109
233	0.4115515643
234	0.4105750068
235	0.4098835038
236	0.4090754914
237	0.4082286361
238	0.4073508946
239	0.4064506858
240	0.4057797162
241	0.4047415084
242	0.4041446633
243	0.4033062597
244	0.4025862317
245	0.4018055387
246	0.4011704889
247	0.4002731085
248	0.3995041284
249	0.3983361641
250	0.3976469644
251	0.3965434895
252	0.3956724978
253	0.3950793909
254	0.3946403454
255	0.3942570657
256	0.3934005023
257	0.3922959383
258	0.3916477794
259	0.3907783161
260	0.3901091376
261	0.3895841758
262	0.3889903773
263	0.3883438307
264	0.3876828988
265	0.3873549295
266	0.3870079968
267	0.3863142325
268	0.3854839299
269	0.3846527507
270	0.3839037345
271	0.3831470472
272	0.3824724138
273	0.3818055179
274	0.3806605735
275	0.3799529926
276	0.3793223808
277	0.3785864826
278	0.378024716
279	0.3769399445
280	0.3764282092
281	0.3757249305
282	0.3749843058
283	0.3743469441
284	0.3736407041
285	0.3732610252
286	0.3728772668
287	0.3722811895
288	0.3715798372
289	0.3712358919
290	0.3708651363
291	0.370474014
292	0.3699059056
293	0.3689502611
294	0.3680641506
295	0.3672410236
296	0.3667494384
297	0.3661508828
298	0.3656500816
299	0.3648397735
300	0.3643643095
301	0.3637875577
302	0.3633903228
303	0.3625760267
304	0.3621031148
305	0.3611610536
306	0.3606603902
307	0.3599214829
308	0.3591146043
309	0.3583719028
310	0.357921119
311	0.3575081961
312	0.3570321592
313	0.3563777332
314	0.3559655952
315	0.3551965685
316	0.354743693
317	0.3542915289
318	0.353831046
319	0.3528789428
320	0.3524235438
321	0.3520801481
322	0.3512940852
323	0.3506653096
324	0.3501171036
325	0.349896226
326	0.3493876013
327	0.3488081481
328	0.3482427585
329	0.3476955262
330	0.3470690261
331	0.3465731815
332	0.3462402564
333	0.3456182585
334	0.345120598
335	0.3446394073
336	0.3440598965
337	0.3435901705
338	0.3429633704
339	0.3424293827
340	0.3418288249
341	0.3409901934
342	0.3403484692
343	0.3396806684
344	0.3393170773
345	0.3386162495
346	0.3379937931
347	0.3373322579
348	0.3368161116
349	0.3363395682
350	0.3355818247
351	0.3350108917
352	0.3343588079
353	0.3338142798
354	0.3332460598
355	0.3328420944
356	0.3322232289
357	0.3314670601
358	0.3305250606
359	0.3301102303
360	0.3294946699
361	0.3289989612
362	0.3285123975
363	0.327839047
364	0.327079794
365	0.3265983782
366	0.3260243081
367	0.325729034
368	0.3252755522
369	0.3246655231
370	0.3240198415
371	0.3234406003
372	0.3228623658
373	0.3223958245
374	0.3218000914
375	0.3213372559
376	0.3208834262
377	0.320389811
378	0.3197693284
379	0.3193217023
380	0.3187855209
381	0.3182299414
382	0.3176279875
383	0.3172058355
384	0.3167799929
385	0.3163077196
386	0.3154677422
387	0.3147076238
388	0.3141154137
389	0.3135129431
390	0.3130661842
391	0.3123682488
392	0.3120874777
393	0.3116257
394	0.3110514712
395	0.3105669621
396	0.3100675617
397	0.3096627283
398	0.3092654542
399	0.3087197053
400	0.3081588656
401	0.3078763132
402	0.3073433123
403	0.3067809867
404	0.3063178163
405	0.3058512043
406	0.3052343687
407	0.3047681479
408	0.3043645677
409	0.3037367387
410	0.3035596102
411	0.3033210729
412	0.302671789
413	0.3020112995
414	0.3014137079
415	0.3009195051
416	0.3003695053
417	0.3000846144
418	0.299616244
419	0.2990371076
420	0.2982841066
421	0.2979185602
422	0.2972238705
423	0.2965964551
424	0.2960141349
425	0.2955686574
426	0.2951505304
427	0.294610404
428	0.2943188097
429	0.2938631453
430	0.2935671399
431	0.2933419842
432	0.2927479816
433	0.2925213837
434	0.2920740436
435	0.2915665209
436	0.2912307516
437	0.2907038272
438	0.2903090036
439	0.2899590332
440	0.2894029264
441	0.2891030194
442	0.2885922267
443	0.2879826483
444	0.2877070111
445	0.287351681
446	0.2869339049
447	0.2864374111
448	0.2861180715
449	0.2858372597
450	0.2855239141
451	0.2851061223
452	0.2847405059
453	0.284400903
454	0.2839861536
455	0.2836303663
456	0.2834205736
457	0.2828928675
458	0.2824531076
459	0.282077585
460	0.2814962829
461	0.2808569306
462	0.2805746412
463	0.2800666079
464	0.2796435892
465	0.2789603967
466	0.2787516385
467	0.2784079003
468	0.2780056471
469	0.2774241283
470	0.2771245447
471	0.2766881274
472	0.276373526
473	0.2759164608
474	0.2755074238
475	0.2750271494
476	0.2746548171
477	0.274431214
478	0.2739770383
479	0.2736146385
480	0.2734080488
481	0.2730139201
482	0.2724897546
483	0.2721383378
484	0.2719332891
485	0.271313376
486	0.2710843277
487	0.270785815
488	0.2704086483
489	0.269878578
490	0.2692357096
491	0.2688807225
492	0.2684558035
493	0.267810119
494	0.2675183322
495	0.2671435953
496	0.2669099141
497	0.2664340908
498	0.2661357664
499	0.2654149444
500	0.265118749
501	0.2645914569
502	0.2641283319
503	0.263802541
504	0.2635328503
505	0.262904381
506	0.2625250115
507	0.2619878262
508	0.2614366328
509	0.2611633857
510	0.2608683127
511	0.2604541558
512	0.2602426496
513	0.2599909142
514	0.2595518691
515	0.2592173651
516	0.258790979
517	0.2583952501
518	0.2581794313
519	0.2577722732
520	0.2575379737
521	0.2570088181
522	0.2564812489
523	0.2557982112
524	0.2554102534
525	0.2550351213
526	0.2547773274
527	0.2545304882
528	0.2539529144
529	0.2536595613
530	0.2533404485
531	0.2530464909
532	0.2527234008
533	0.2523794334
534	0.2518284699
535	0.2514862575
536	0.2510650016
537	0.2507271402
538	0.2503503358
539	0.249833939
540	0.2496691242
541	0.2493268121
542	0.2491585903
543	0.2488128795
544	0.2484326186
545	0.2481063928
546	0.2475805347
547	0.2471849522
548	0.246924116
549	0.2466465387
550	0.2463904617
551	0.2460839535
552	0.2457653817
553	0.2452412898
554	0.2448862302
555	0.2446167429
556	0.2442950838
557	0.2440536743
558	0.2436348005
559	0.2432681259
560	0.2429734159
561	0.2426722794
562	0.2424114334
563	0.2421372042
564	0.2418024411
565	0.241464062
566	0.2411138615
567	0.2408597457
568	0.2405738873
569	0.2403785384
570	0.2399602298
571	0.2397554717
572	0.2395794416
573	0.2393045914
574	0.2390237417
575	0.2385593802
576	0.2382014918
577	0.2380046144
578	0.237654682
579	0.2373174942
580	0.2370128809
581	0.2367702397
582	0.2365863137
583	0.2363999986
584	0.2360511691
585	0.2357105211
586	0.2355772713
587	0.235097067
588	0.234721916
589	0.2343664447
590	0.2340551061
591	0.233835104
592	0.2333767143
593	0.2331479631
594	0.2326500557
595	0.2324801598
596	0.2319873998
597	0.2317094958
598	0.2314548379
599	0.2311903713
600	0.230891974
601	0.2305667004
602	0.2302319329
603	0.2299267174
604	0.2295434359
605	0.229087369
606	0.2288054475
607	0.2283576742
608	0.2282050611
609	0.2278785102
610	0.2276794221
611	0.2274435405
612	0.2272349805
613	0.2269359963
614	0.2266696235
615	0.2263517518
616	0.2259363329
617	0.2254656646
618	0.225149704
619	0.2249046207
620	0.2245532774
621	0.2243248967
622	0.2241002104
623	0.2235559297
624	0.223274071
625	0.222973452
626	0.2225464571
627	0.2223268289
628	0.2220406418
629	0.2217512561
630	0.2214466537
631	0.2211081463
632	0.2205088079
633	0.2202450678
634	0.22002358
635	0.2198824993
636	0.219508582
637	0.2190582377
638	0.2186918329
639	0.2185567056
640	0.2183521308
641	0.2181927428
642	0.217934463
643	0.2178411554
644	0.2175335938
645	0.2172299092
646	0.2170310108
647	0.2166381436
648	0.2162943229
649	0.2160516104
650	0.2159601589
651	0.2157017193
652	0.2153906694
653	0.2151926071
