iter	Passed	Remaining
0	0	518
1	0	479
2	1	480
3	1	479
4	2	452
5	2	432
6	2	419
7	3	408
8	3	398
9	4	425
10	4	416
11	4	409
12	5	402
13	5	396
14	5	391
15	6	387
16	6	384
17	7	383
18	7	379
19	7	376
20	8	373
21	8	370
22	8	368
23	9	366
24	9	369
25	9	372
26	10	370
27	10	369
28	11	370
29	11	369
30	11	367
31	12	365
32	12	364
33	12	363
34	13	361
35	13	360
36	13	363
37	14	366
38	14	365
39	15	364
40	15	362
41	15	361
42	16	361
43	16	360
44	17	361
45	17	362
46	17	361
47	18	360
48	18	358
49	18	357
50	19	356
51	19	355
52	19	354
53	20	352
54	20	351
55	20	350
56	21	349
57	21	348
58	21	347
59	22	346
60	22	345
61	22	347
62	23	346
63	23	345
64	23	344
65	24	345
66	24	344
67	25	344
68	25	346
69	26	346
70	26	345
71	26	345
72	27	344
73	27	343
74	27	343
75	28	342
76	28	342
77	28	341
78	29	341
79	29	341
80	30	340
81	30	339
82	30	339
83	31	338
84	31	338
85	31	338
86	32	337
87	32	336
88	32	336
89	33	337
90	33	337
91	34	336
92	34	335
93	34	334
94	35	334
95	35	333
96	35	332
97	36	332
98	36	331
99	36	331
100	37	330
101	37	329
102	37	330
103	38	329
104	38	329
105	38	328
106	39	328
107	39	328
108	40	328
109	40	328
110	41	334
111	42	333
112	42	332
113	42	332
114	43	331
115	43	331
116	43	330
117	44	329
118	44	329
119	44	328
120	45	328
121	45	327
122	45	327
123	46	326
124	46	325
125	46	325
126	47	324
127	47	324
128	47	323
129	48	323
130	48	323
131	49	323
132	49	322
133	49	322
134	50	321
135	50	321
136	50	320
137	51	320
138	51	319
139	52	320
140	52	319
141	52	319
142	53	318
143	53	318
144	53	317
145	54	316
146	54	316
147	54	316
148	55	315
149	55	315
150	56	315
151	56	316
152	56	315
153	57	314
154	57	314
155	57	313
156	58	313
157	58	312
158	58	312
159	59	311
160	59	310
161	59	310
162	60	310
163	60	309
164	61	309
165	61	308
166	61	308
167	62	308
168	62	308
169	63	307
170	63	307
171	63	307
172	64	307
173	64	307
174	65	306
175	65	306
176	65	305
177	66	305
178	66	304
179	66	304
180	67	303
181	67	303
182	67	302
183	68	302
184	68	301
185	68	301
186	69	301
187	69	300
188	70	300
189	70	299
190	70	299
191	71	298
192	71	298
193	71	298
194	72	298
195	72	298
196	72	297
197	73	296
198	73	296
199	74	296
200	74	296
201	74	295
202	75	295
203	75	294
204	75	294
205	76	293
206	76	293
207	76	292
208	77	292
209	77	291
210	77	291
211	78	290
212	78	290
213	79	290
214	79	290
215	79	290
216	80	290
217	80	289
218	81	289
219	81	289
220	81	288
221	82	288
222	82	288
223	83	287
224	83	287
225	83	287
226	84	286
227	84	286
228	84	285
229	85	285
230	85	284
231	85	284
232	86	283
233	86	283
234	86	282
235	87	282
236	87	282
237	88	282
238	88	281
239	88	281
240	89	281
241	89	280
242	90	280
243	90	279
244	90	279
245	91	279
246	91	278
247	91	278
248	92	277
249	92	277
250	92	276
251	93	276
252	93	275
253	93	275
254	94	275
255	94	274
256	94	274
257	95	274
258	95	273
259	96	273
260	96	273
261	96	272
262	97	272
263	97	271
264	97	271
265	98	270
266	98	270
267	98	269
268	99	269
269	99	268
270	99	268
271	100	268
272	100	267
273	100	267
274	101	266
275	101	266
276	101	265
277	102	265
278	102	264
279	102	264
280	103	264
281	103	264
282	104	263
283	104	263
284	104	262
285	105	262
286	105	262
287	105	261
288	106	261
289	106	261
290	107	260
291	107	260
292	107	259
293	108	259
294	108	259
295	108	258
296	109	258
297	109	257
298	109	257
299	110	257
300	110	256
301	110	256
302	111	255
303	111	255
304	111	254
305	112	254
306	112	253
307	112	253
308	113	253
309	113	252
310	114	252
311	114	252
312	114	251
313	115	251
314	115	251
315	115	250
316	116	250
317	116	249
318	116	249
319	117	249
320	117	248
321	117	248
322	118	247
323	119	248
324	119	248
325	120	248
326	120	247
327	120	247
328	121	246
329	121	246
330	121	246
331	122	245
332	122	245
333	122	244
334	123	244
335	123	244
336	123	243
337	124	243
338	124	242
339	124	242
340	125	241
341	125	241
342	125	241
343	126	240
344	126	240
345	127	240
346	127	239
347	127	239
348	128	239
349	128	238
350	128	238
351	129	237
352	129	237
353	129	237
354	130	236
355	130	236
356	130	235
357	131	235
358	131	235
359	131	234
360	132	234
361	132	233
362	133	233
363	133	233
364	133	232
365	134	232
366	134	232
367	135	232
368	135	231
369	135	231
370	136	231
371	136	231
372	137	230
373	138	231
374	138	231
375	139	231
376	139	230
377	140	230
378	140	230
379	140	229
380	141	229
381	141	228
382	141	228
383	142	228
384	142	227
385	143	227
386	143	227
387	143	226
388	144	226
389	144	225
390	144	225
391	145	224
392	145	224
393	145	224
394	146	223
395	146	223
396	146	223
397	147	222
398	147	222
399	148	222
400	148	221
401	148	221
402	149	220
403	149	220
404	149	219
405	150	219
406	150	219
407	150	218
408	151	218
409	151	218
410	152	217
411	152	217
412	152	217
413	153	216
414	153	216
415	153	215
416	154	215
417	154	215
418	154	214
419	155	214
420	155	213
421	155	213
422	156	213
423	156	212
424	156	212
425	157	211
426	157	211
427	157	211
428	158	210
429	158	210
430	159	210
431	159	209
432	159	209
433	160	208
434	160	208
435	160	208
436	161	207
437	161	207
438	161	206
439	162	206
440	162	206
441	162	205
442	163	205
443	163	204
444	163	204
445	164	203
446	164	203
447	165	203
448	165	203
449	165	202
450	166	202
451	166	202
452	167	201
453	167	201
454	167	200
455	168	200
456	168	200
457	168	199
458	169	199
459	169	198
460	169	198
461	170	198
462	170	197
463	170	197
464	171	197
465	171	196
466	172	196
467	172	195
468	172	195
469	173	195
470	173	195
471	173	194
472	174	194
473	174	193
474	175	193
475	175	193
476	175	192
477	176	192
478	176	191
479	176	191
480	177	191
481	177	190
482	177	190
483	178	189
484	178	189
485	178	189
486	179	188
487	179	188
488	179	187
489	180	187
490	180	187
491	180	186
492	181	186
493	182	186
494	182	186
495	182	185
496	183	185
497	183	185
498	183	184
499	184	184
500	185	184
501	185	184
502	186	183
503	186	183
504	186	183
505	187	182
506	187	182
507	187	181
508	188	181
509	188	181
510	188	180
511	189	180
512	189	179
513	189	179
514	190	179
515	190	178
516	191	178
517	191	178
518	192	178
519	193	178
520	193	177
521	193	177
522	194	177
523	194	176
524	194	176
525	195	175
526	195	175
527	195	175
528	196	174
529	196	174
530	197	174
531	198	174
532	198	173
533	198	173
534	199	173
535	199	172
536	199	172
537	200	171
538	200	171
539	200	171
540	201	170
541	201	170
542	202	170
543	202	169
544	202	169
545	203	169
546	203	168
547	204	168
548	204	168
549	205	167
550	205	167
551	205	167
552	206	166
553	206	166
554	206	165
555	207	165
556	207	165
557	207	164
558	208	164
559	208	163
560	208	163
561	209	163
562	209	162
563	209	162
564	210	161
565	210	161
566	211	161
567	211	161
568	212	160
569	212	160
570	213	160
571	213	159
572	213	159
573	214	158
574	214	158
575	214	158
576	215	157
577	215	157
578	215	156
579	216	156
580	216	156
581	216	155
582	217	155
583	217	155
584	218	154
585	218	154
586	218	153
587	219	153
588	219	153
589	219	152
590	220	152
591	220	151
592	220	151
593	221	151
594	221	150
595	221	150
596	222	150
597	222	149
598	222	149
599	223	148
600	224	148
601	224	148
602	224	148
603	225	147
604	225	147
605	225	146
606	226	146
607	226	146
608	226	145
609	227	145
610	227	144
611	228	144
612	228	144
613	228	143
614	229	143
615	229	143
616	230	142
617	230	142
618	230	142
619	231	141
620	231	141
621	231	140
622	232	140
623	232	140
624	232	139
625	233	139
626	233	139
627	233	138
628	234	138
629	234	137
630	234	137
631	235	137
632	235	136
633	236	136
634	236	136
635	237	135
636	237	135
637	237	134
638	238	134
639	238	134
640	238	133
641	239	133
642	239	132
643	239	132
644	240	132
645	240	131
646	240	131
647	241	131
648	241	130
649	242	130
650	242	129
651	242	129
652	243	129
653	243	128
654	244	128
655	244	128
656	244	127
657	245	127
658	245	127
659	245	126
660	246	126
661	246	125
662	246	125
663	247	125
664	247	124
665	247	124
666	248	123
667	248	123
668	248	123
669	249	122
670	249	122
671	250	122
672	250	121
673	250	121
674	251	120
675	251	120
676	252	120
677	252	119
678	252	119
679	253	119
680	253	118
681	253	118
682	254	117
683	254	117
684	254	117
685	255	117
686	256	117
687	257	116
688	257	116
689	257	115
690	258	115
691	258	115
692	258	114
693	259	114
694	259	113
695	260	113
696	260	113
697	260	112
698	261	112
699	261	112
700	261	111
701	262	111
702	262	110
703	262	110
704	263	110
705	263	109
706	263	109
707	264	109
708	264	108
709	265	108
710	265	107
711	265	107
712	266	107
713	266	106
714	267	106
715	267	106
716	267	105
717	268	105
718	268	104
719	268	104
720	269	104
721	269	103
722	270	103
723	270	103
724	270	102
725	271	102
726	271	101
727	271	101
728	272	101
729	272	100
730	272	100
731	273	100
732	273	99
733	273	99
734	274	98
735	274	98
736	275	98
737	275	97
738	276	97
739	276	97
740	276	96
741	277	96
742	277	96
743	277	95
744	278	95
745	278	94
746	278	94
747	279	94
748	279	93
749	279	93
750	280	92
751	280	92
752	281	92
753	281	91
754	281	91
755	282	91
756	282	90
757	282	90
758	283	89
759	283	89
760	283	89
761	284	88
762	284	88
763	284	88
764	285	87
765	285	87
766	285	86
767	286	86
768	287	86
769	287	85
770	288	85
771	288	85
772	288	84
773	289	84
774	289	84
775	290	83
776	290	83
777	290	82
778	291	82
779	291	82
780	291	81
781	292	81
782	292	81
783	292	80
784	293	80
785	293	79
786	293	79
787	294	79
788	294	78
789	294	78
790	295	78
791	295	77
792	296	77
793	297	77
794	297	76
795	297	76
796	298	75
797	298	75
798	299	75
799	299	74
800	299	74
801	300	74
802	300	73
803	300	73
804	301	72
805	301	72
806	301	72
807	302	71
808	302	71
809	302	71
810	303	70
811	303	70
812	303	69
813	304	69
814	304	69
815	305	68
816	305	68
817	305	68
818	306	67
819	306	67
820	306	66
821	307	66
822	308	66
823	308	65
824	309	65
825	309	65
826	309	64
827	310	64
828	310	64
829	310	63
830	311	63
831	311	62
832	311	62
833	312	62
834	312	61
835	313	61
836	313	61
837	313	60
838	314	60
839	314	59
840	315	59
841	315	59
842	315	58
843	316	58
844	316	58
845	316	57
846	317	57
847	318	57
848	318	56
849	318	56
850	319	55
851	319	55
852	319	55
853	320	54
854	320	54
855	320	53
856	321	53
857	321	53
858	321	52
859	322	52
860	322	52
861	322	51
862	323	51
863	323	50
864	323	50
865	324	50
866	324	49
867	324	49
868	325	49
869	325	48
870	326	48
871	326	47
872	326	47
873	327	47
874	327	46
875	327	46
876	328	46
877	328	45
878	329	45
879	329	44
880	329	44
881	330	44
882	330	43
883	330	43
884	331	43
885	331	42
886	331	42
887	332	41
888	332	41
889	332	41
890	333	40
891	333	40
892	334	40
893	334	39
894	335	39
895	335	38
896	335	38
897	336	38
898	336	37
899	336	37
900	337	37
901	337	36
902	337	36
903	338	35
904	338	35
905	338	35
906	339	34
907	339	34
908	339	34
909	340	33
910	340	33
911	340	32
912	341	32
913	341	32
914	341	31
915	342	31
916	342	31
917	342	30
918	343	30
919	343	29
920	343	29
921	344	29
922	344	28
923	344	28
924	345	27
925	345	27
926	346	27
927	346	26
928	346	26
929	347	26
930	347	25
931	348	25
932	348	25
933	348	24
934	349	24
935	349	23
936	349	23
937	350	23
938	350	22
939	350	22
940	351	22
941	351	21
942	351	21
943	352	20
944	352	20
945	352	20
946	353	19
947	353	19
948	353	19
949	354	18
950	354	18
951	354	17
952	355	17
953	355	17
954	355	16
955	356	16
956	356	16
957	356	15
958	357	15
959	357	14
960	358	14
961	358	14
962	359	13
963	359	13
964	359	13
965	360	12
966	360	12
967	360	11
968	361	11
969	361	11
970	361	10
971	362	10
972	362	10
973	362	9
974	363	9
975	363	8
976	363	8
977	364	8
978	364	7
979	364	7
980	365	7
981	365	6
982	365	6
983	366	5
984	366	5
985	367	5
986	367	4
987	367	4
988	368	4
989	368	3
990	368	3
991	369	2
992	369	2
993	369	2
994	370	1
995	370	1
996	370	1
997	371	0
998	371	0
999	372	0
